College,City,State,Country
EAST CENTRAL JUNIOR COLLEGE,DECATUR,MS,UNITED STATES
EAST CENTRAL UNIVERSITY,ADA,OK,UNITED STATES
EAST COAST BIBLE COLLEGE,CHARLOTTE,NC,UNITED STATES
EAST GEORGIA COLLEGE,SWAINSBORO,GA,UNITED STATES
EAST GRAND FORKS AREA VOC TECH INSTITUTE,EAST GRAND FORKS,MN,UNITED STATES
EAST IDAHO VOCATIONAL TECHNICAL SCHOOL,IDAHO FALLS,ID,UNITED STATES
EAST LOS ANGELES COLLEGE,MONTEREY PARK,CA,UNITED STATES
EAST MISSISSIPPI COMMUNITY COLLEGE,SCOOBA,MS,UNITED STATES
EAST STROUDSBURG UNIVERSITY,EAST STROUDSBURG,PA,UNITED STATES
EAST TENNESSEE BAPTIST HOSPITAL SCHOOL/NURSING,KNOXVILLE,TN,UNITED STATES
EAST TENNESSEE STATE UNIVERSITY,JOHNSON CITY,TN,UNITED STATES
EAST TEXAS BAPTIST UNIVERSITY,MARSHALL,TX,UNITED STATES
EAST-WEST UNIVERSITY,CHICAGO,IL,UNITED STATES
EASTERN ARIZONA COLLEGE,THATCHER,AZ,UNITED STATES
EASTERN CHRISTIAN COLLEGE,BEL AIR,MD,UNITED STATES
EASTERN COLLEGE,SAINT DAVIDS,PA,UNITED STATES
EASTERN CONNECTICUT STATE UNIVERSITY,WILLIMANTIC,CT,UNITED STATES
EASTERN ILLINOIS UNIVERSITY,CHARLESTON,IL,UNITED STATES
EASTERN KENTUCKY UNIVERSITY,RICHMOND,KY,UNITED STATES
EASTERN MENNONITE COLLEGE,HARRISONBURG,VA,UNITED STATES
EASTERN MICHIGAN UNIVERSITY,YPSILANTI,MI,UNITED STATES
EASTERN NAZARENE COLLEGE,WOLLASTON,MA,UNITED STATES
EASTERN NEW MEXICO UNIVERSITY-ROSWELL COMM COLLEGE,ROSWELL,NM,UNITED STATES
EASTERN NEW MEXICO UNIVERSITY,PORTALES,NM,UNITED STATES
EASTERN OKLAHOMA STATE COLLEGE,WILBURTON,OK,UNITED STATES
EASTERN OREGON STATE COLLEGE,LA GRANDE,OR,UNITED STATES
EASTERN WASHINGTON UNIVERSITY,CHENEY,WA,UNITED STATES
EASTERN WYOMING COLLEGE,TORRINGTON,WY,UNITED STATES
EASTFIELD COLLEGE,MESQUITE,TX,UNITED STATES
EASTMAN SCHOOL OF MUSIC,ROCHESTER,NY,UNITED STATES
ECKERD COLLEGE,ST PETERSBURG,FL,UNITED STATES
ECOLE HOTELIERE DE LAUSANNE,CH-1000 LAUSANNE,,SWITZERLAND
EDGEWOOD COLLEGE,MADISON,WI,UNITED STATES
EDINBORO UNIVERSITY OF PENNSYLVANIA,EDINBORO,PA,UNITED STATES
EDISON COMMUNITY COLLEGE,FORT MYERS,FL,UNITED STATES
EDISON STATE COMMUNITY COLLEGE,PIQUA,OH,UNITED STATES
EDITH COWAN UNIVERSITY,JOONDALUP,,AUSTRALIA
EDMONDS COMMUNITY COLLEGE,LYNNWOOD,WA,UNITED STATES
EDMONDSON JUNIOR COLLEGE,CHATTANOOGA,TN,UNITED STATES
EDWARD WATERS COLLEGE,JACKSONVILLE,FL,UNITED STATES
EL CAMINO COLLEGE,TORRANCE,CA,UNITED STATES
EL CENTRO COLLEGE,DALLAS,TX,UNITED STATES
EL PASO COMMUNITY COLLEGE,EL PASO,TX,UNITED STATES
ELECTRONIC DATA PROCESSING COLLEGE OF PR,HATO REY,PR,UNITED STATES
ELGIN COMMUNITY COLLEGE,ELGIN,IL,UNITED STATES
ELIZABETH CITY STATE UNIVERSITY,ELIZABETH CITY,NC,UNITED STATES
ELIZABETH SETON COLLEGE,YONKERS,NY,UNITED STATES
ELIZABETHTOWN COLLEGE,ELIZABETHTOWN,PA,UNITED STATES
ELIZABETHTOWN COMMUNITY COLLEGE,ELIZABETHTOWN,KY,UNITED STATES
ELLIS HOSPITAL SCHOOL OF NURSING,SCHNECTADY,NY,UNITED STATES
ELLSWORTH COMMUNITY COLLEGE,IOWA FALLS,IA,UNITED STATES
ELMHURST COLLEGE,ELMHURST,IL,UNITED STATES
ELMIRA COLLEGE,ELMIRA,NY,UNITED STATES
ELMS COLLEGE,CHICOPEE,MA,UNITED STATES
ELON COLLEGE,ELON COLLEGE,NC,UNITED STATES
EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,DAYTONA BEACH,FL,UNITED STATES
EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,PRESCOTT,AZ,UNITED STATES
EMERSON COLLEGE,BOSTON,MA,UNITED STATES
EMMANUEL COLLEGE,FRANKLIN SPRINGS,GA,UNITED STATES
EMMANUEL COLLEGE,BOSTON,MA,UNITED STATES
EMMAUS BIBLE COLLEGE,DUBUQUE,IA,UNITED STATES
EMORY & HENRY COLLEGE,EMORY,VA,UNITED STATES
EMORY UNIVERSITY,ATLANTA,GA,UNITED STATES
EMPIRE STATE COLLEGE OF SUNY,SARATOGA SPRINGS,NY,UNITED STATES
EMPORIA STATE UNIVERSITY,EMPORIA,KS,UNITED STATES
ENDICOTT COLLEGE,BEVERLY,MA,UNITED STATES
ENTERPRISE STATE JUNIOR COLLEGE,ENTERPRISE,AL,UNITED STATES
ERASMUS UNIVERSITY COLLEGE,ROTTERDAM,,NETHERLANDS
ERIE COMMUNITY COLLEGE-CITY,ORCHARD PARK,NY,UNITED STATES
ERIE COMMUNITY COLLEGE-NORTH,WILLIAMSVILLE,NY,UNITED STATES
ERIE COMMUNITY COLLEGE-SOUTH,ORCHARD PARK,NY,UNITED STATES
ERSKINE COLLEGE,DUE WEST,SC,UNITED STATES
ESADE BUSINESS SCHOOL,SANT CUGAT VALLE,,SPAIN
ESSEX AGRIC & TECH INSTITUTE,HATHORNE,MA,UNITED STATES
ESSEX COMMUNITY COLLEGE,BALTIMORE,MD,UNITED STATES
ESSEX COUNTY COLLEGE,NEWARK,NJ,UNITED STATES
ESTRELLA MOUNTAIN COMM COLLEGE,ESTRELLA MOUNTAIN,AZ,UNITED STATES
EUGENE BIBLE COLLEGE,EUGENE,OR,UNITED STATES
EUREKA COLLEGE,EUREKA,IL,UNITED STATES
EVANGEL COLLEGE,SPRINGFIELD,MO,UNITED STATES
EVANGELICAL SCHOOL OF NURSING,OAKLAWN,IL,UNITED STATES
EVANGELICAL SEMINARY OF PUERTO RICO,HATO REY,PR,UNITED STATES
EVERETT COMMUNITY COLLEGE,EVERETT,WA,UNITED STATES
EVERGREEN STATE COLLEGE,OLYMPIA,WA,UNITED STATES
EVERGREEN VALLEY COLLEGE,SAN JOSE,CA,UNITED STATES
EWHA WOMANS UNIVERSITY,SEOUL,,SOUTH KOREA
FAIRFIELD UNIVERSITY,FAIRFIELD,CT,UNITED STATES
FAIRHAVEN COLLEGE,CHESTERTON,IN,UNITED STATES
FAIRLEIGH DICKINSON UNIVERSITY-EDWARD WILLIAMS C,HACKENSACK,NJ,UNITED STATES
FAIRLEIGH DICKINSON UNIVERSITY-FLORHAM/MADISON,MADISON,NJ,UNITED STATES
FAIRLEIGH DICKINSON UNIVERSITY-RUTHERFORD CAMPUS,RUTHERFORD,NJ,UNITED STATES
FAIRLEIGH DICKINSON UNIVERSITY-TEANECK CAMPUS,TEANECK,NJ,UNITED STATES
FAIRLEIGH DICKINSON UNIVERSITY-WAYNE EXTENSION,WAYNE,NJ,UNITED STATES
FAIRMONT STATE COLLEGE,FAIRMONT,WV,UNITED STATES
FAIRVIEW DEACONESS HOSPITAL SCHOOL NURSING,MINNEAPOLIS,MN,UNITED STATES
FAIRVIEW GENERAL HOSPITAL SCHOOL OF NURSING,CLEVELAND,OH,UNITED STATES
FAITH BAPTIST BIBLE COLLEGE,ANKENY,IA,UNITED STATES
FAITH BAPTIST BIBLE INSTITUTE/COLLEGE/SEMINARY,OLIVER SPRINGS,TN,UNITED STATES
FAITH CHRISTIAN COLLEGE,PASADENA,TX,UNITED STATES
FASHION INSTITUTE OF DESIGN & MERCHANDISING,LOS ANGELES,CA,UNITED STATES
FASHION INSTITUTE OF TECHNOLOGY,NEW YORK,NY,UNITED STATES
FAULKNER UNIVERSITY,MONTGOMERY,AL,UNITED STATES
FAYETTEVILLE STATE UNIVERSITY,FAYETTEVILLE,NC,UNITED STATES
FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE,FAYETTEVILLE,NC,UNITED STATES
FEATHER RIVER COLLEGE,QUINCY,CA,UNITED STATES
FELICIAN COLLEGE,LODI,NJ,UNITED STATES
FELLOWSHIP BAPTIST COLLEGE,EAST PEORIA,IL,UNITED STATES
FERGUS FALLS COMMUNITY COLLEGE,FERGUS FALLS,MN,UNITED STATES
FERRIS STATE UNIVERSITY,BIG RAPIDS,MI,UNITED STATES
FERRUM COLLEGE,FERRUM,VA,UNITED STATES
FINCH COLLEGE,NEW YORK,NY,UNITED STATES
FINLEY HOSPITAL SCHOOL OF NURSING,DUBUQUE,IA,UNITED STATES
FISHER COLLEGE,BOSTON,MA,UNITED STATES
FISK UNIVERSITY,NASHVILLE,TN,UNITED STATES
FITCHBURG STATE COLLEGE,FITCHBURG,MA,UNITED STATES
FIVE TOWNS COLLEGE,SEAFORD,NY,UNITED STATES
FLAGLER COLLEGE,ST AUGUSTINE,FL,UNITED STATES
FLAME UNIVERSITY,PUNE,,INDIA
FLATHEAD VALLEY COMMUNITY COLLEGE,KALISPELL,MT,UNITED STATES
FLINDERS UNIVERSITY,ADELAIDE,,AUSTRALIA
FLORENCE-DARLINGTON TECHNICAL COLLEGE,FLORENCE,SC,UNITED STATES
FLORIDA A&M UNIVERSITY,TALLAHASSEE,FL,UNITED STATES
FLORIDA ATLANTIC UNIVERSITY,BOCA RATON,FL,UNITED STATES
FLORIDA BAPTIST COLLEGE,LAKELAND,FL,UNITED STATES
FLORIDA BIBLE COLLEGE,KISSIMMEE,FL,UNITED STATES
FLORIDA COLLEGE,TEMPLE TERRACE,FL,UNITED STATES
FLORIDA COMMUNITY COLLEGE,JACKSONVILLE,FL,UNITED STATES
FLORIDA GULF COAST UNIVERSITY,FT MYERS,FL,UNITED STATES
FLORIDA INSTITUTE OF TECH-JENSEN BEACH,JENSEN BEACH,FL,UNITED STATES
FLORIDA INSTITUTE OF TECH-MELBOURNE,MELBOURNE,FL,UNITED STATES
FLORIDA INTERNATIONAL UNIVERSITY,MIAMI,FL,UNITED STATES
FLORIDA KEYS COMMUNITY COLLEGE,KEY WEST,FL,UNITED STATES
FLORIDA MEMORIAL COLLEGE,MIAMI,FL,UNITED STATES
FLORIDA SOUTHERN COLLEGE,LAKELAND,FL,UNITED STATES
FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,UNITED STATES
FLOYD COLLEGE,ROME,GA,UNITED STATES
FON DU LAC TRIBAL AND COMM COLLEGE,CLOQUET,MN,UNITED STATES
FONTBONNE COLLEGE,ST LOUIS,MO,UNITED STATES
FOOTHILL COLLEGE,LOS ALTOS HILLS,CA,UNITED STATES
FORDHAM UNIVERSITY,BRONX,NY,UNITED STATES
FORSYTH TECHNICAL INSTITUTE,WINSTON-SALEM,NC,UNITED STATES
FORT BERTHOLD COMMUNITY COLLEGE,NEW TOWN,ND,UNITED STATES
FORT HAYS STATE UNIVERSITY,HAYS,KS,UNITED STATES
FORT LAUDERDALE COLLEGE,FT LAUDERDALE,FL,UNITED STATES
FORT LEWIS COLLEGE,DURANGO,CO,UNITED STATES
FORT PECK COMMUNITY COLLEGE,POPLAR,MT,UNITED STATES
FORT SANDERS SCHOOL OF NURSING,KNOXVILLE,TN,UNITED STATES
FORT SCOTT COMMUNITY COLLEGE,FORT SCOTT,KS,UNITED STATES
FORT VALLEY STATE COLLEGE,FORT VALLEY,GA,UNITED STATES
FOX VALLEY TECHNICAL INSTITUTE,APPLETON,WI,UNITED STATES
FRAMINGHAM STATE COLLEGE,FRAMINGHAM,MA,UNITED STATES
FRANCIS MARION UNIVERSITY,FLORENCE,SC,UNITED STATES
FRANCISCAN UNIVERSITY OF STEUBENVILLE,STEUBENVILLE,OH,UNITED STATES
FRANK PHILLIPS COLLEGE,BORGER,TX,UNITED STATES
FRANKLIN AND MARSHALL COLLEGE,LANCASTER,PA,UNITED STATES
FRANKLIN COLLEGE,FRANKLIN,IN,UNITED STATES
FRANKLIN INSTITUTE OF BOSTON,BOSTON,MA,UNITED STATES
FRANKLIN PIERCE COLLEGE,RINDGE,NH,UNITED STATES
FRANKLIN UNIVERSITY,COLUMBUS,OH,UNITED STATES
FRANKLIN UNIVERSITY SWITZERLAND,LUGANO,,SWITZERLAND
FRANKLIN W. OLIN COLLEGE OF ENGINEERING,NEEDHAM,MA,UNITED STATES
FREDERICK COMMUNITY COLLEGE,FREDERICK,MD,UNITED STATES
FREE WILL BAPTIST BIBLE COLLEGE,NASHVILLE,TN,UNITED STATES
FREED-HARDEMAN COLLEGE,HENDERSON,TN,UNITED STATES
FREEMAN JUNIOR COLLEGE,FREEMAN,SD,UNITED STATES
FRESNO CITY COLLEGE,FRESNO,CA,UNITED STATES
FRESNO PACIFIC COLLEGE,FRESNO,CA,UNITED STATES
FRIENDS UNIVERSITY,WICHITA,KS,UNITED STATES
FRIENDS WORLD COLLEGE,LLOYD HARBOR,NY,UNITED STATES
FRONT RANGE COMMUNITY COLLEGE,WESTMINSTER,CO,UNITED STATES
FRONTIER COMMUNITY COLLEGE,FAIRFIELD,IL,UNITED STATES
FROSTBURG STATE COLLEGE,FROSTBURG,MD,UNITED STATES
FULLER THEOLOGICAL SEMINARY,PASADENA,CA,UNITED STATES
FULLERTON COLLEGE,FULLERTON,CA,UNITED STATES
FULTON-MONTGOMERY COMMUNITY COLLEGE,JOHNSTOWN,NY,UNITED STATES
FURMAN UNIVERSITY,GREENVILLE,SC,UNITED STATES
GADSDEN STATE JUNIOR COLLEGE,GADSDEN,AL,UNITED STATES
GAINESVILLE COLLEGE,GAINESVILLE,GA,UNITED STATES
GALLAUDET COLLEGE,WASHINGTON,DC,UNITED STATES
GALVESTON COLLEGE,GALVESTON,TX,UNITED STATES
GANNON UNIVERSITY,ERIE,PA,UNITED STATES
GARDEN CITY COMMUNITY COLLEGE,GARDEN CITY,KS,UNITED STATES
GARDNER-WEBB COLLEGE,BOILING SPRINGS,NC,UNITED STATES
GARLAND COUNTY COMMUNITY COLLEGE,HOT SPRINGS,AR,UNITED STATES
GARRETT COMMUNITY COLLEGE,MCHENRY,MD,UNITED STATES
GASTON COLLEGE,DALLAS,NC,UNITED STATES
GATEWAY BIBLE COLLEGE,ST LOUIS,MO,UNITED STATES
GATEWAY COLLEGE OF EVANGELISM,FLORISSANT,MO,UNITED STATES
GATEWAY COMMUNITY COLLEGE,PHOENIX,AZ,UNITED STATES
GATEWAY COMMUNITY TECHNICAL COLLEGE,NEW HAVEN,CT,UNITED STATES
GATEWAY TECHNICAL INSTITUTE,RACINE,WI,UNITED STATES
GAVILAN COLLEGE,GILROY,CA,UNITED STATES
GENESEE COMMUNITY COLLEGE,BATAVIA,NY,UNITED STATES
GENEVA COLLEGE,BEAVER FALLS,PA,UNITED STATES
GEORGE C. WALLACE STATE COMM COLLEGE,DOTHAN,AL,UNITED STATES
GEORGE CORLEY WALLACE STATE COMM COLLEGE,SELMA,AL,UNITED STATES
GEORGE FOX COLLEGE,NEWBERG,OR,UNITED STATES
GEORGE MASON UNIVERSITY,FAIRFAX,VA,UNITED STATES
THE GEORGE WASHINGTON UNIVERSITY,WASHINGTON,DC,UNITED STATES
GEORGE WILLIAMS COLLEGE,DOWNERS GROVE,IL,UNITED STATES
GEORGETOWN COLLEGE,GEORGETOWN,KY,UNITED STATES
GEORGETOWN UNIVERSITY-QATAR,DOHA,,QATAR
GEORGETOWN UNIVERSITY,WASHINGTON,DC,UNITED STATES
GEORGIA BAPTIST COLLEGE,FAIRBURN,GA,UNITED STATES
GEORGIA COLLEGE AT MILLEDGEVILLE,MILLEDGEVILLE,GA,UNITED STATES
GEORGIA INSTITUTE OF TECHNOLOGY,ATLANTA,GA,UNITED STATES
GEORGIA MILITARY COLLEGE,MILLEDGEVILLE,GA,UNITED STATES
GEORGIA PERIMETER COLLEGE,CLARKSTON,GA,UNITED STATES
GEORGIA SOUTHERN UNIVERSITY,STATESBORO,GA,UNITED STATES
GEORGIA SOUTHWESTERN COLLEGE,AMERICUS,GA,UNITED STATES
GEORGIA STATE UNIVERSITY,ATLANTA,GA,UNITED STATES
GEORGIAN COURT COLLEGE,LAKEWOOD,NJ,UNITED STATES
GERMANNA COMMUNITY COLLEGE,LOCUST GROVE,VA,UNITED STATES
GETTYSBURG COLLEGE,GETTYSBURG,PA,UNITED STATES
GLEN OAKS COMMUNITY COLLEGE,CENTREVILLE,MI,UNITED STATES
GLENDALE COMMUNITY COLLEGE,GLENDALE,AZ,UNITED STATES
GLENDALE COMMUNITY COLLEGE,GLENDALE,CA,UNITED STATES
GLENVILLE STATE COLLEGE,GLENVILLE,WV,UNITED STATES
GLOUCESTER COUNTY COLLEGE,SEWELL P O,NJ,UNITED STATES
GOD'S BIBLE SCHOOL AND COLLEGE,CINCINNATI,OH,UNITED STATES
GODDARD COLLEGE,PLAINFIELD,VT,UNITED STATES
GOGEBIC COMMUNITY COLLEGE,IRONWOOD,MI,UNITED STATES
GOLDEN GATE UNIVERSITY,SAN FRANCISCO,CA,UNITED STATES
GOLDEN TRIANGLE VOC TECH CENTER,COLUMBUS,MS,UNITED STATES
GOLDEN WEST COLLEGE,HUNTINGTON BEACH,CA,UNITED STATES
GOLDEY BEACOM COLLEGE,WILMINGTON,DE,UNITED STATES
GOLDSMITHS-UNIVERSITY OF LONDON,LONDON,,UNITED KINGDOM
GONZAGA UNIVERSITY,SPOKANE,WA,UNITED STATES
GOOD SAMARITAN HOSPITAL SCHOOL OF NURSING,CINCINNATI,OH,UNITED STATES
GORDON COLLEGE,WENHAM,MA,UNITED STATES
GORDON JUNIOR COLLEGE,BARNESVILLE,GA,UNITED STATES
GOSHEN COLLEGE,GOSHEN,IN,UNITED STATES
GOUCHER COLLEGE,BALTIMORE,MD,UNITED STATES
GOVERNORS STATE UNIVERSITY,UNIVERSITY PARK,IL,UNITED STATES
GRACE BIBLE COLLEGE,GRAND RAPIDS,MI,UNITED STATES
GRACE COLLEGE,WINONA LAKE,IN,UNITED STATES
GRACE COLLEGE OF THE BIBLE,OMAHA,NE,UNITED STATES
GRACE THEOLOGICAL SEMINARY,WINONA LAKE,IN,UNITED STATES
GRACELAND COLLEGE,LAMONI,IA,UNITED STATES
GRAHAM HOSPITAL SCHOOL OF NURSING,CANTON,IL,UNITED STATES
GRAMBLING STATE UNIVERSITY,GRAMBLING,LA,UNITED STATES
GRAND CANYON COLLEGE,PHOENIX,AZ,UNITED STATES
GRAND RAPIDS COMMUNITY COLLEGE,GRAND RAPIDS,MI,UNITED STATES
GRAND VALLEY STATE UNIVERSITY,ALLENDALE,MI,UNITED STATES
GRAND VIEW COLLEGE,DES MOINES,IA,UNITED STATES
GRAYS HARBOR COLLEGE,ABERDEEN,WA,UNITED STATES
GRAYSON COUNTY COLLEGE,DENISON,TX,UNITED STATES
GREAT BASIN COLLEGE,ELKO,NV,UNITED STATES
GREAT LAKES BIBLE COLLEGE,LANSING,MI,UNITED STATES
GREAT LAKES JUNIOR COLLEGE,SAGINAW,MI,UNITED STATES
GREAT LAKES MARITIME ACADEMY,TRAVERSE CITY,MI,UNITED STATES
GREATER HARTFORD COMMUNITY COLLEGE,HARTFORD,CT,UNITED STATES
GREEN MOUNTAIN COLLEGE,POULTNEY,VT,UNITED STATES
GREEN RIVER COMMUNITY COLLEGE,AUBURN,WA,UNITED STATES
GREENFIELD COMMUNITY COLLEGE,GREENFIELD,MA,UNITED STATES
GREENSBORO COLLEGE,GREENSBORO,NC,UNITED STATES
GREENVILLE COLLEGE,GREENVILLE,IL,UNITED STATES
GREENVILLE TECHNICAL COLLEGE,GREENVILLE,SC,UNITED STATES
GRIFFITH UNIVERSITY,NATHAN,,AUSTRALIA
GRINNELL COLLEGE,GRINNELL,IA,UNITED STATES
GROSSMONT COLLEGE,EL CAJON,CA,UNITED STATES
GROVE CITY COLLEGE,GROVE CITY,PA,UNITED STATES
GUILFORD COLLEGE,GREENSBORO,NC,UNITED STATES
GUILFORD TECHNICAL COMMUNITY COLLEGE,JAMESTOWN,NC,UNITED STATES
GULF COAST COMMUNITY COLLEGE,PANAMA CITY,FL,UNITED STATES
GUSTAVUS ADOLPHUS COLLEGE,ST PETER,MN,UNITED STATES
GWYNEDD-MERCY COLLEGE,GWYNEDD VALLEY,PA,UNITED STATES
HAGERSTOWN JUNIOR COLLEGE,HAGERSTOWN,MD,UNITED STATES
HAHNEMANN UNIVERSITY,PHILADELPHIA,PA,UNITED STATES
HALIFAX COMMUNITY COLLEGE,WELDON,NC,UNITED STATES
HAMAD BIN KHALIFA UNIVERSITY,EDUCATION CITY,,QATAR
HAMILTON COLLEGE,CLINTON,NY,UNITED STATES
HAMILTON COLLEGE-CEDAR RAPIDS,CEDAR RAPIDS,IA,UNITED STATES
HAMILTON COLLEGE-DES MOINES,DES MOINES,IA,UNITED STATES
HAMILTON COLLEGE-MASON CITY,MASON CITY,IA,UNITED STATES
HAMLINE UNIVERSITY,ST PAUL,MN,UNITED STATES
HAMPDEN-SYDNEY COLLEGE,HAMPDEN-SYDNEY,VA,UNITED STATES
HAMPSHIRE COLLEGE,AMHERST,MA,UNITED STATES
HAMPTON UNIVERSITY,HAMPTON,VA,UNITED STATES
HANDONG GLOBAL UNIVERSITY,KYEONGBUK,,SOUTH KOREA
HANNIBAL-LAGRANGE COLLEGE,HANNIBAL,MO,UNITED STATES
HANOI UNIVERSITY SCIENCE AND TECH,HANOI,,VIETNAM
HANOVER COLLEGE,HANOVER,IN,UNITED STATES
HARCUM JUNIOR COLLEGE,BRYN MAWR,PA,UNITED STATES
HARDIN-SIMMONS UNIVERSITY,ABILENE,TX,UNITED STATES
HARDING UNIVERSITY,SEARCY,AR,UNITED STATES
HARFORD COMMUNITY COLLEGE,BEL AIR,MD,UNITED STATES
HAROLD WASHINGTON COLLEGE,CHICAGO,IL,UNITED STATES
HARRIS-STOWE STATE COLLEGE,ST LOUIS,MO,UNITED STATES
HARRISBURG AREA COMMUNITY COLLEGE,HARRISBURG,PA,UNITED STATES
HARRY S. TRUMAN COLLEGE,CHICAGO,IL,UNITED STATES
HARTFORD COLLEGE FOR WOMEN,HARTFORD,CT,UNITED STATES
HARTNELL COLLEGE,SALINAS,CA,UNITED STATES
HARTWICK COLLEGE,ONEONTA,NY,UNITED STATES
HARVARD UNIVERSITY,CAMBRIDGE,MA,UNITED STATES
HARVARD-RADCLIFFE,CAMBRIDGE,MA,UNITED STATES
HARVEY MUDD COLLEGE,CLAREMONT,CA,UNITED STATES
HASKELL INDIAN JUNIOR COLLEGE,LAWRENCE,KS,UNITED STATES
HASTINGS COLLEGE,HASTINGS,NE,UNITED STATES
HAVERFORD COLLEGE,HAVERFORD,PA,UNITED STATES
HAWAII COMMUNITY COLLEGE,HILO,HI,UNITED STATES
HAWAII LOA COLLEGE,KANEOHE,HI,UNITED STATES
HAWAII PACIFIC COLLEGE,HONOLULU,HI,UNITED STATES
HAWKEYE COMMUNITY COLLEGE,WATERLOO,IA,UNITED STATES
HAWTHORNE COLLEGE,ANTRIM,NH,UNITED STATES
HAZARD COMMUNITY COLLEGE,HAZARD,KY,UNITED STATES
HEALD BUSINESS COLLEGE,SAN FRANCISCO,CA,UNITED STATES
HEALD INSTITUTE OF TECHNOLOGY,SAN FRANCISCO,CA,UNITED STATES
HEARTLAND COMMUNITY COLLEGE,BLOOMINGTON,IL,UNITED STATES
HEBREW COLLEGE,BROOKLINE,MA,UNITED STATES
HEBREW THEOLOGICAL COLLEGE,SKOKIE,IL,UNITED STATES
HEBREW UNION COLLEGE,LOS ANGELES,CA,UNITED STATES
HEBREW UNIVERSITY OF JERUSALEM,JERUSALEM,,ISRAEL
HEBREW UNIVERSITY ROTHBERG INTL SCHOOL,JERUSALEM,,ISRAEL
HEC MONTREAL,MONTRÉAL,QC,CANADA
HEIDELBERG COLLEGE,TIFFIN,OH,UNITED STATES
HELENE FULD SCHOOL OF NURSING,CAMDEN,NJ,UNITED STATES
HELLENIC COLLEGE AND HOLY CROSS,BROOKLINE,MA,UNITED STATES
HENDERSON COMMUNITY COLLEGE,HENDERSON,KY,UNITED STATES
HENDERSON COUNTY JR COLLEGE-ANDERSON,PALESTINE,TX,UNITED STATES
HENDERSON COUNTY JR COLLEGE-TERRELL CTR,TERRELL,TX,UNITED STATES
HENDERSON STATE UNIVERSITY,ARKADELPHIA,AR,UNITED STATES
HENDRICK MEDICAL CENTER SCHOOL/RAD TECH,ABILENE,TX,UNITED STATES
HENDRIX COLLEGE,CONWAY,AR,UNITED STATES
HENNEPIN TECHNICAL COLLEGE,BROOKLYN PARK,MN,UNITED STATES
HENRY FORD COMMUNITY COLLEGE,DEARBORN,MI,UNITED STATES
HERBERT H. LEHMAN COLLEGE-CUNY,BRONX,NY,UNITED STATES
HERIOT-WATT UNIVERSITY,EDINBURGH,,UNITED KINGDOM
HERITAGE BAPTIST UNIVERSITY,NORTH JACKSON,OH,UNITED STATES
HERITAGE COLLEGE,ORLANDO,FL,UNITED STATES
HERITAGE COLLEGE,TOPPENISH,WA,UNITED STATES
HERITAGE SCHOOL/EVANGELISM&COMMUNICATION,CHARLOTTE,NC,UNITED STATES
HERKIMER COUNTY COMMUNITY COLLEGE,HERKIMER,NY,UNITED STATES
HERZING INSTITUTE OF ALABAMA,BIRMINGHAM,AL,UNITED STATES
HESSER COLLEGE,MANCHESTER,NH,UNITED STATES
HESSTON COLLEGE,HESSTON,KS,UNITED STATES
HIBBING COMMUNITY COLLEGE,HIBBING,MN,UNITED STATES
HIGH POINT COLLEGE,HIGH POINT,NC,UNITED STATES
HIGHLAND COMMUNITY COLLEGE,HIGHLAND,KS,UNITED STATES
HIGHLAND COMMUNITY COLLEGE,FREEPORT,IL,UNITED STATES
HIGHLAND PARK COMMUNITY COLLEGE,HIGHLAND PARK,MI,UNITED STATES
HIGHLINE COMMUNITY COLLEGE,MIDWAY,WA,UNITED STATES
HILBERT COLLEGE,HAMBURG,NY,UNITED STATES
HILL JUNIOR COLLEGE,HILLSBORO,TX,UNITED STATES
HILLSBOROUGH COMMUNITY COLLEGE,TAMPA,FL,UNITED STATES
HILLSDALE COLLEGE,HILLSDALE,MI,UNITED STATES
HILLSDALE FREE WILL BAPTIST COLLEGE,MOORE,OK,UNITED STATES
HINDS JUNIOR COLLEGE-JACKSON CAMPUS,JACKSON,MS,UNITED STATES
HINDS JUNIOR COLLEGE-RANKIN BRANCH,PEARL,MS,UNITED STATES
HINDS JUNIOR COLLEGE-RAYMOND CAMPUS,RAYMOND,MS,UNITED STATES
HINDS JUNIOR COLLEGE-UTICA CAMPUS,UTICA,MS,UNITED STATES
HINDS JUNIOR COLLEGE-VICKSBURG/WARREN,VICKSBURG,MS,UNITED STATES
HIRAM COLLEGE,HIRAM,OH,UNITED STATES
HIWASSEE COLLEGE,MADISONVILLE,TN,UNITED STATES
HOBART & WILLIAM SMITH COLLEGES,GENEVA,NY,UNITED STATES
HOCKING TECHNICAL COLLEGE,NELSONVILLE,OH,UNITED STATES
HOFSTRA UNIVERSITY,HEMPSTEAD,NY,UNITED STATES
HOGESCHOOL-UNIVERSITY BRUSSELS,BRUSSELS,,BELGIUM
HOKKAIDO UNIVERSITY,SAPPORO,,JAPAN
HOLLINS COLLEGE,HOLLINS COLLEGE,VA,UNITED STATES
HOLMES COLLEGE OF THE BIBLE,GREENVILLE,SC,UNITED STATES
HOLMES COMMUNITY COLLEGE,GOODMAN,MS,UNITED STATES
HOLY CROSS JUNIOR COLLEGE,NOTRE DAME,IN,UNITED STATES
